,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
268,115394,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,129124,2014,36,26,0.92,4,-,-,13,7,2,-,-,-,337',1.346'
270,150512,2014,46,32,1.72,7,1,-,21,8,4,-,1,-,170',1.190'
271,178389,2014,51,42,1.29,15,2,-,17,12,4,-,-,-,167',2.511'
272,195993,2014,25,25,1.60,2,3,-,2,17,1,-,-,-,808',1.615'
273,212522,2014,38,34,2.09,11,-,-,7,24,3,-,1,-,196',2.155'
274,213271,2014,18,13,0.23,2,-,-,4,2,3,-,-,1,427',853'
275,226119,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,234044,2014,15,9,1.00,1,-,-,4,3,-,-,-,-,466',466'
277,236231,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,268339,2014,3,3,0.33,-,-,-,2,1,-,-,-,-,-,123'
279,282296,2014,4,4,2.00,-,-,-,1,3,-,-,-,-,-,196'
280,292348,2014,20,18,0.78,4,2,-,3,6,2,-,-,-,310',1.238'
281,309827,2014,22,19,1.16,3,-,-,3,12,2,-,-,-,425',1.276'
282,227901,2014,33,33,1.33,12,1,-,2,4,4,-,-,2,234',2.803'
283,380885,2014,18,14,1.36,2,1,-,12,1,-,-,-,-,277',554'
284,520662,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,229941,2014,3,3,1.67,1,-,-,-,1,-,-,-,-,266',266'
286,544819,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,381362,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,31005,2014,29,28,1.57,11,4,-,-,9,6,-,-,2,203',2.232'
289,104509,2014,43,36,1.31,15,5,-,3,10,8,-,-,4,194',2.914'
290,99548,2014,41,41,2.17,23,8,-,9,8,2,-,-,2,130',2.981'
291,9543,2014,45,45,2.02,27,2,-,9,5,5,-,-,4,131',3.536'
292,270414,2014,41,28,1.96,9,1,-,9,12,6,-,-,-,171',1.541'
293,262016,2014,32,32,1.38,13,2,-,1,13,5,-,-,5,197',2.564'
294,152176,2014,42,42,1.14,5,7,-,1,9,9,-,-,-,734',3.672'
295,68804,2014,33,33,1.39,11,3,-,3,10,3,-,-,-,243',2.670'
296,76470,2014,41,37,1.38,17,8,-,4,7,-,-,-,3,169',2.872'
297,34156,2014,22,9,1.33,2,-,-,7,1,1,-,-,-,166',332'
298,32860,2014,35,35,1.20,8,-,-,6,4,2,-,-,-,331',2.645'
299,378710,2014,26,24,1.67,9,4,-,3,8,3,-,1,-,205',1.843'
300,103743,2014,32,24,1.63,12,1,-,1,6,3,-,1,1,160',1.917'
301,347100,2014,26,12,2.08,1,1,-,9,2,-,-,-,-,373',373'
302,252908,2014,46,45,1.56,13,9,-,2,16,13,-,1,-,291',3.781'
303,154059,2014,41,31,1.26,4,4,-,16,9,8,-,-,-,342',1.369'
304,37944,2014,49,47,1.98,20,3,-,15,16,2,-,-,1,148',2.965'
305,195004,2014,38,26,1.46,5,1,-,16,7,2,-,-,-,208',1.041'
306,55378,2014,39,34,1.38,14,2,-,7,7,5,-,-,1,178',2.489'
307,243541,2014,34,34,1.44,11,2,-,8,11,10,1,1,-,218',2.402'
308,83877,2014,39,32,1.00,8,7,-,10,10,7,-,-,-,252',2.014'
309,178940,2014,35,34,1.82,11,5,-,12,13,7,-,-,1,178',1.953'
310,112335,2014,29,29,1.45,16,4,-,-,5,5,1,-,2,151',2.422'
311,34862,2014,62,56,1.75,15,5,-,17,8,-,-,-,-,255',3.819'
312,74758,2014,53,40,1.73,10,-,-,12,15,13,-,-,1,242',2.415'
313,3373,2014,42,38,1.53,8,8,-,9,16,9,-,-,1,317',2.536'
314,67560,2014,39,34,1.21,3,-,-,17,15,1,-,-,-,513',1.540'
315,75484,2014,37,34,1.18,5,2,-,6,24,4,-,-,-,442',2.208'
316,22820,2014,37,28,1.29,8,1,-,14,6,5,-,-,2,173',1.385'
317,53256,2014,55,41,1.83,3,2,-,27,6,5,-,-,-,514',1.542'
318,164013,2014,25,24,0.71,5,2,-,3,9,4,1,-,-,336',1.682'
319,207600,2014,49,49,1.47,21,10,-,4,4,5,-,-,2,201',4.224'
320,75207,2014,30,30,1.30,15,5,-,1,7,8,1,-,2,173',2.599'
321,84486,2014,37,37,1.65,14,10,-,2,5,5,-,-,1,226',3.162'
322,137710,2014,18,13,1.85,2,-,-,7,4,1,-,-,-,258',516'
323,76134,2014,15,15,1.80,7,4,-,1,2,3,1,-,1,179',1.256'
324,327911,2014,41,38,1.74,13,7,-,12,4,3,-,-,2,195',2.541'
325,375226,2014,36,36,1.47,11,10,-,2,6,6,-,-,1,283',3.111'
326,327912,2014,31,31,1.55,5,6,-,8,9,6,-,1,-,428',2.138'
327,181781,2014,19,16,1.13,4,2,-,4,6,2,-,-,-,263',1.053'
328,19082,2014,39,39,1.62,13,2,-,8,13,10,2,-,1,207',2.697'
329,27245,2014,27,24,0.96,7,4,-,3,9,1,-,-,2,259',1.810'
330,41037,2014,47,43,1.56,10,3,-,13,21,2,-,2,1,259',2.589'
331,45597,2014,44,34,1.56,6,2,-,14,16,3,-,-,3,299',1.791'
332,53444,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
